dt,RightFoot_px,RightFoot_py,RightFoot_pz,RightFoot_rx,RightFoot_ry,RightFoot_rz,LeftFoot_px,LeftFoot_py,LeftFoot_pz,LeftFoot_rx,LeftFoot_ry,LeftFoot_rz,
0.0162126,1.344208,0.1092784,-0.04367197,359.9331,92.76978,90.50391,1.378008,0.1057837,0.1040803,1.346747,81.6229,88.51967,
0.015189,1.34427,0.1092495,-0.04373956,359.9302,92.77419,90.49091,1.377996,0.1057424,0.1039993,1.351999,81.61964,88.5101,
0.0151894,1.344215,0.1092911,-0.04374194,359.9291,92.76696,90.48732,1.377967,0.1058475,0.1040056,1.351847,81.63416,88.51973,
0.0171942,1.344183,0.109346,-0.04376805,359.9214,92.77,90.48957,1.377998,0.105861,0.1040386,1.349598,81.6301,88.50841,
0.0149878,1.344197,0.1093406,-0.04380786,359.9226,92.76387,90.50359,1.377966,0.1058753,0.1039879,1.352179,81.63052,88.51811,
0.017126,1.344194,0.109353,-0.04381204,359.9311,92.77092,90.49773,1.377986,0.1058367,0.1039772,1.363709,81.63226,88.51363,
0.0161705,1.344265,0.1093622,-0.04370403,359.9335,92.77537,90.50015,1.378036,0.1057603,0.104053,1.360249,81.62884,88.51303,
0.0158503,1.344271,0.1093533,-0.04367566,359.9316,92.77266,90.5006,1.378024,0.1057761,0.1040789,1.351617,81.63364,88.50909,
0.0155072,1.344224,0.1093049,-0.04366839,359.932,92.77143,90.49899,1.377897,0.1057874,0.1040801,1.362838,81.63328,88.5212,
0.015923,1.344215,0.1093714,-0.043715,359.9397,92.77673,90.49451,1.377918,0.1056803,0.1040632,1.361972,81.64045,88.51324,
0.0152676,1.344243,0.109384,-0.04372823,359.9367,92.77469,90.49674,1.377942,0.1057398,0.1040394,1.365018,81.63622,88.5127,
0.0149619,1.344275,0.1093351,-0.04378986,359.9348,92.77319,90.50181,1.377968,0.1058652,0.1040239,1.350399,81.63869,88.51161,
0.0163371,1.344352,0.1093158,-0.04370737,359.9348,92.77102,90.49861,1.377983,0.1058715,0.1040111,1.352136,81.62925,88.51034,
0.0151553,1.344284,0.1093266,-0.04374063,359.9251,92.77359,90.50682,1.378009,0.1059281,0.1040314,1.35424,81.64295,88.51616,
